id,text
1349488330145202181,"@AlvaroUribeVel Mucho dolor. Tenemos un gobierno inepto, incapaz, no tenemos estado, estamos en manos de la delincuencia organizada, patrocinada desde las altas esferas del poder de cuello blanco. Somos nada ante la comunidad internacional.
Señor Uribe, DUQUE no dió la talla."
1349488330124238853,Señor presidente @IvanDuque no dialogue con terroristas y la oposición son sus cómplices.... https://t.co/70pDrmRqGS
1349488310973059079,@DanielSamperO Cómo vas a comparar ese equipucho con River
1349488280266534914,"@RoyBarreras @DanielSamperO Ya lo veré vacunándose junto a su familia. Desagradecido!, por éstos Judas es que la gente no debe votar. Abran los ojos."
1349488270560948224,"@MorenaClara5 @petrogustavo @emiliolagos1 Por si no sabía, los grupos paramilitares existen desde la época de los Chulavitas, no me venga con cuentos."
1349488257910919171,@AlexLopezMaya @reyarturoIII @IvanDuque Y montar en cuatrimoto.
1349488257495670788,@freddyavelandia @AlvaroUribeVel @Ernesti93290639 Ayy si lo sintio muy fuerte cuando te penetro jajaja lambón!
1349488248637296642,"@Tercer_Canal @IvanDuque @anateresabernal @petrogustavo @ClaudiaLopez @WRadioColombia @LevyRincon @GustavoBolivar @mmiguelangelj @marthaperaltae @LUISEROLAVE @lafm Ya que por acá son los putas para hacer vacas, y ya que desde pigland autorizaron compra privada, y ya que no van a vacunar fuera de las centros urbanos..que tal si una fundación de caracter social gestiona la vaca y de paso compra unas cuantas sputnik v para el territorio rural."
1349488234322124803,"@ernestoyamhure @GustavoBolivar @AlvaroUribeVel @TwitterLatAm @Twitter Sesgo, yo ataque a Juan Manuel Santos y me cortaron por dos días, esto necesita regulación y reglas"
1349488208678170627,@PizarroMariaJo @AlbaMar91403336 @IvanDuque ¿será? Tiene una pinta de fake...
1349488192060334083,"@QuinteroCalle ☑️La Orden es : La vacuna 💉 para cuando ?
@petrogustavo , @IvanCepedaCast , @ClaudiaLopez , @EstebanSantos10 , @MartinSantosR ,@QuinteroCalle @AlvaroLeyva 
Estrategia (Globalista, Progresista , Comunista, Socialista)
@KremlinRussia_E  
estrategia de :@BarackObama,@JoeBiden https://t.co/7VlGjgQois"
1349488173831901184,"@ALH_Siyose @MinHacienda @IvanDuque Andrés, en las próximas semanas iniciaremos el Plan Nacional de Vacunación, sin embargo, el equipo de expertos epidemiológicos afirma que es fundamental seguir aplicando las medidas de autocuidado durante todo este año para evitar el contagio 🚫🦠"
1349488008291115010,"@cardenasjorgee @IvanDuque @PartidoFARC Analizar lo que ud expone sólo tiene dos respuestas, o a ud le pagan por publicar pelotudeces ó de verdad ud es un pelotudo. El mando quien lo tiene?? La responsabilidad es de quien?? A ver mijo avíspese un poquito y no defienda lo indefendible..."
1349488003228594177,"@Da_VinciNea @petrogustavo @emiliolagos1 Claro cambios importantes: institucionalización del secuestro, extorsión, desaparición forzada,  cultivos ilicitos y dieron paso a la creación de grupos paramilitares solo los que vivimos en carne la violencia de la época de este grupo insurgente sabemos de qué se trata."
1349487997931106313,"El que no conoce la historia, está condenado a repetirla. 
A mucho mamerto  agüerista que el 31 de diciembre dió la vuelta al parque con una maleta para atraer viajes, les decimos q tranquilos, porque de votar por @petrogustavo posiblemente lo haga pero con una mochila por Latam https://t.co/C5d9bqwEL4"
1349487994961612800,"Es necesario que @IvanDuque regrese al kinder y juegue a ser el presidente o representante del salón, mientras el racho es administrado por los que ya superaron la Minoría de edad.
La presidencia no es un asunto de discursos, sino de ejecución de acciones para la ciudadanía libre"
1349487994269532169,@Holmandeviayab1 @AlvaroUribeVel Lo no no sea que UD se lo gane el pasajeas rápido estupido COMUNISTA
1349487989802545152,"@harnec2 @CMILANOTICIA @BOG_ELDORADO @IvanDuque Usted si sabe que ya se piden? 
Y que además, fue en colombia donde identificaron a este señor? 

De verdad, que la gente escribe,por escribir sandeces."
1349487963806322689,@IvanDuque 😂😂🤣🤣🤣🤣 otro chiste de su  dignidad ....
1349487928347652096,@Nebiros96 @MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud Huila volvio al quinto puesto otra vez 😔
1349487866108407809,"@RevistaSemana Creo que debemos poner una demanda contra @JERobledo , este anciano que está más muerto que vivo, quiere impedir nos vacunemos, buscando revelar los acuerdos con las farmacéuticas, y así, causar no nos den vacunas, nunca Nadie quiso matar tantos colombianos simultáneamente"
1349487863650529286,@DIAMI198529 @petrogustavo Que bien describes lo que guardas en su interior...
1349487855169630210,@petrogustavo Un guerrillero menos!!
1349487841508810752,"@gabocifuentes @CathyJuvinao @JuanPabloCalvas @CamiloRomero @JERobledo @camiloencisov @odpdh @AntonioSanguino Ya que dice ser ex Secretario de Transparencia, cuéntenos cuántos procesos contractuales amañados evitó; cuántas acciones de repetición propuso, cuántos procesos con responsabilidad fiscal generaron sus actuaciones?
Q fácil es hablar sin hacer nada.
Deje de hablar tanta 💩"
1349487838367252481,@DanielSamperO Usted ya está bastante viejo como para ser tan ridículo!!
1349487833988390915,@RoyBarreras @DanielSamperO Te las vas a robar....
1349487822642798592,@ElQueLosDELATA @migueldelrioabg @AUGUSTOOCAMPO @LUISEROLAVE @Betocoralg @ColombiaHumana_ @petrogustavo @GustavoBolivar Lo ancho pa ellos lo angosto pa uno
1349487820784758799,"@ElQueLosDELATA @migueldelrioabg @AUGUSTOOCAMPO @LUISEROLAVE @Betocoralg @ColombiaHumana_ @petrogustavo @GustavoBolivar Si la mayoria de los abogados ,hubiesen ejercido sus carreras como lo hacen: Augusto Ocampo, M A Del Rio, Juan Trujillo, Daniel Mendoza no tendríamos aboganster que le hacen tanto daño al pais defendiendo y justificando a corruptos, bandidos y asesinos"
1349487806754795520,@diegomatteus @MariaFdaCabal @AlvaroUribeVel tiembla que llegó tu tiburón y del centro democrático te van a remplazar https://t.co/ahiWtIPe20
1349487798563311616,"@ELTIEMPO 🤣🤣🤣🤣🤣🤣🤣🤣 el próximo sábado, más cuentachistes...¿así quién cree en las instituciones públicas bebé @IvanDuque ? @infopresidencia"
1349487786731122688,@acbog23 @William22700994 @JulianEnriqueGo @JulianDHenao @AlvaroUribeVel Me bloqueó el intelectual ese!
1349487752178507777,"Hasta @nostrabamus69 sabe que @IvanDuque es un tremendo inepto.

Argentina acumula + 166.000 vacunas, hasta hoy 
13-01-2021 22:45 GMT

¿Y Colombia?
CERO VACUNAS.

https://t.co/VPuL4l9Lk8"
1349487731349532673,"@Simone54183407 @DanielSamperO @Zuletalleras @IvanDuque Esos países que ya están vacunando tienen muy poquitas vacunas, solo revisé los porcentajes, terrible que la gente crea que twitter es una fuentes de información confiable"
1349487677826097154,"#ATENCIÓN📌Contraloría pide a MinSalud aclarar información sobre contratos para adquirir vacuna contra la CoVID19. Conozca los detalles aquí➡️https://t.co/PlUGXrbO9k
@PGN_COL @CGR_Colombia @IvanDuque @MinSaludCol @Fruizgomez @VirolColombia @scarecolombia @AMCI_Colombia @ASCEMCOL https://t.co/aihDTPDJW8"
1349487663712247812,Encuentran Pintura Rupestre más antigua del Cerdo @IvanDuque https://t.co/QwFQJCST4j
1349487663544414210,@AlvaroUribeVel Preocupante que las secretarias de salud como la admon de Tulua' se encargue de las vacunas verdaderamente preocupante.....
1349487653067120651,"@ssanchva @IvanDuque Jejejeeeeeeeeeeeeeee esta muy chistosa, Jajajajajajajajaaaaaaaaaaaaa"
1349487652052099073,"@Juan_Florez @DanielSamperO @MinSaludCol Imaginan sino tuviese el magazin de tv , y en horario triple A . ?!! Un gobierno patético !"
1349487649283837954,@UnCaricaturista @DanielSamperO Jajaajjjajajjaajajajjajajajja
1349487607324045312,@AlvaroUribeVel por favor iluminame señor de los milagros https://t.co/nk1am8KYD1
1349487597320630272,"@MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud Comorbilidades de las 242 personas fallecidas hoy.
2/2 https://t.co/Khz6aBGL8N"
1349487564261089280,"@gabelri1 @lafm 23 ""HP"" del Congreso como q quieren Conmemorar el 2do Aniversario del Ataque Terrorista del ELN a la Escuela General Santander el próximo 17 de Enero  obligando al Presidente @IvanDuque a reiniciar Diálogos con Cuba,País q apoya,esconde,retiene,Instruye a TERRORISTAS (FARC,ELN)."
1349487561081827329,@IvanDuque rupestre!! https://t.co/nibO8uuo47
1349487551720128514,"@OscarMerchan11 @1letza @IvanDuque @pnud Por personajes así Colombia nunca evolucionara...estamos destinados a vivir en un platanal gobernado por mafiosos y asesinos, siempre y cuando existen seres que permitan y aplaudan tales mandatarios."
1349487546909257730,"@AlicMalag26 @dpaolacordero @MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud Tiene toda la razón señorita y dejemos todo en manos de Dios.
Saludos y bendiciones para todos."
1349487525505736708,"@Putin2025 @macdonal5 @FiscaliaCol @AndresFelArias ANDRES FELIPE ES UN BANDIDO DELINCUENTE, SEÑOR FISCALUCHO HAY INVESTIGACIÓN PARA RECUPERAR ESOS DINEROS DEL AIS
FISCALUCHO EN QUE VAN LAS INVESTIGACIONES DE LA ÑEÑEPOLITICA Y EL GENOCIDIO DE LÍDERES SOCIALES Y E COMBATIENTES
@FiscaliaCol 
@IvanDuque
@CarlosHolmesTru"
1349487522645217282,"- Y la vacuna don mentiroso compulsivo @IvanDuque ❓

 - Plomo es lo que hayyyyy ‼️"
1349487494388199425,"@ghitis Les está “cogiendo la noche” con eso. Cuando lo logren (si la narco-maquinaria los deja), ya ese simulacro de alcalde habrá acabado con lo poco que queda de Bogotá. A eso súmele que a @IvanDuque LE DA MIEDO HASTA MENCIONARLA (O)."
1349487491183734795,@Cesar52667029 @petrogustavo X  eso bueno la reconciliacion la paz de haceptar quien piensa diferente algo que no quiere su patron fasista don uribe
1349487486129623041,"@jorge87911338 @ymarce7312 @AlvaroUribeVel Pffff ni vale la pena debatir con estos zombies....Uribe el gran Colombiano, Uribe mi presidente...terrible, así eran los nazis de enajenados mentalmente, busquen en el diccionario y chao, que peligro acá no demoran en amenazarme."
1349487442278146053,"¡¡¡¡COLOMBIA SIN VACUNAS😲
""Asubir Las Defensas ""🤔
Para Cuando llegan ?..🧐.....?..
@IvanDuque 
@ConsejeriaDDHH https://t.co/cscQ4Z4mKk"
1349487440218759173,@miguelsarruf @petrogustavo @GustavoBolivar Creo que Bolívar debe encabezar la lista cerrada y alternada hombre mujer al Senado. Debemos identificar a alguien reconocido para encabezar las listas cerradas y alternadas mujer hombre en cada departamento. Organicemos los Nodos en cada comunidad. Estamos atrazados
1349487439870619648,"Manda a decir @PartidoFARC que
 les dejen el.manejo de las vacuna, que ellos son expertos en el tema de vacunas @IvanDuque @AlvaroUribeVel"
1349487425249292288,"@vizkein @MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud Obvio, algún dia"
1349487422065823745,"Hoy reunión con @carloscamargoa Defensor Nacional del Pueblo, para análisis de la resolución 01668 del 30 de diciembre del 2020 actual protocolo de participación.@AlvaroUribeVel @red_defensoras @derlyvictima @FFevcol @yolaperea @Fundiheco @DanielPalam @IvanDuque @fcarrilloflorez https://t.co/Cqat0WeTT2"
1349487415665291266,@_CrisSuarez_ @AlvaroUribeVel Dios por favor líbranos de tanto IDIOTA útil para los COMUNISTAS XQ para el país son solo unos imbesiles ojalá no les de el covic y nos den la funesta noticia QC fueron a acompañar a Chávez
1349487414155366403,"y éste inútil @JERobledo cuando no ha hecho lo mismo desde que el sr @IvanDuque se posicionó  como Presidente? el accionista de @SenadoGovCo justifica los más de 30 millones de pesos en moción de censura, moción de censura, ahora ya cambió la táctica. ya es tutela. PARASÍTO. https://t.co/s5VcOdCMkW https://t.co/URUS52Shpr"
1349491365730770952,"mi #MAMA me dice que debo votar por @petrogustavo en 2022, hago lo que dice ella o lo que diga usted @AlvaroUribeVel??"
1349491339868712961,@JoMalagon @infopresidencia @UNGRD @Minvivienda @IvanDuque @carlosruizma @gerenciasai @SusanaCorreaBor @ampalau @ACRegiones @GobernacionSai @urnadecristal Muchas gracias señor Ministto
1349491282738114560,"🔴📽️ #EnVivo | Inicia #PrevenciónYAcción con toda la información detallada que entrega el presidente @IvanDuque sobre los avances del Gobierno de cara a la pandemia, las novedades en tema de vacunas y reactivación económica. Estamos por @InstitucionalTV 📺 https://t.co/VY6mtOk8cb"
1349491269018529793,"@IvanCepedaCast @Orlando97236855 @IvanDuque Tienen que despertar, reflexionar, conceder, ánimos diálogos coincidencias. Pesimismo ultra derechas continuarán observando pasividad ustedes sin ubicar responsabilidades. Otro a debacle se presagia derrota intenciones y salvaciones nacionales. Qué les pasa ? unan congruencias."
1349491258914467842,"@miguelsarruf @petrogustavo @GustavoBolivar Bolívar debe ir al Senado encabezando el cambio, cambio que se ve venir a pasos de gigante"
1349491249049460737,"@ElQueLosDELATA @migueldelrioabg @AUGUSTOOCAMPO @LUISEROLAVE @Betocoralg @ColombiaHumana_ @petrogustavo @GustavoBolivar Será grandioso. Son seres humanos hermosos,a quienes les duele el pueblo despojado y sufrido. Qué acepten ser candidatos y los colombianos que soñamos con un mejor país, los apoyaremos en sus aspiraciones."
1349491243471011840,@VISIONCBIA @JERobledo Que es un abuelito canson y desagradable
1349491225850736644,@RobertoMTico @RaulCas31122301 @IvanDuque La canciller se debe estar sobándose las manos!
1349491219261509632,"@Zuletalleras @IvanDuque Este es un pobre bobo hijueputa enamorado de Duque y cegado por ese amor . Vaya coma mierda , hijueputa"
1349491216929468419,"@MiguelG44323238 @AlvaroUribeVel @elmontonero_pe De acuerdo con usted, muy grande el ladrón #Matarife no existe peor ciego que el que no quiere ver"
1349491182032793603,Estamos por llegar a los 2millones de muertes por este virus. El mundo no volverá a ser igual ! @AlcaldiadeMed @ConcejoMedellin @Telemedellin @INSColombia @MinSaludCol @QuinteroCalle @Areametropol @Medicina_UdeA @UdeA @IvanDuque https://t.co/lalcCbvdbZ
1349491177700130816,@JulianG40747584 @IvanDuque Así se habla caballero q se vayan al carajo estas ratas sinvergüenza  q solo robar el erario es su misión uum
1349491165746311168,@MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud Hoy Petro no quisiera ver esa cantidad de recuperados.
1349491162667741186,"@AlexLopezMaya @IvanDuque Tienen que despertar, reflexionar, conceder, ánimos diálogos coincidencias. Pesimismo ultra derechas continuarán observando pasividad ustedes sin ubicar responsabilidades. Otro a debacle se presagia derrota intenciones y salvaciones nacionales. Qué les pasa ? unan congruencias."
1349491161195544576,"@gmoretinologo @AlcaldiaDeCali @JorgeIvanOspina @MinSaludCol @infopresidencia @IvanDuque @SaludCali @Asocapitales @Bogota @AlcaldiadeMed @ClaudiaLopez @QuinteroCalle Totalmente de acuerdo el q falló fue ud @JorgeIvanOspina ud es el unico responsable, le faltó gerencia, protección a la ciudadanía,  habiendo permitido esa desfachatez"
1349491158620254208,@DonMatiasMoreno @JuanDavidSerLo @Betocoralg @PattyRosi24 @CeDemocratico @IvanDuque Se incluye la camiseta de la selección
1349491139586519042,"@MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud #Valle
32 nuevas muertes en el Valle Del Cauca

⚰Por municipios:
 Cali 19 
Palmira 8
Candelaria 1
Buga 1
Tuluá 1
Florida 1
Ansermanuevo 1"
1349491124667371520,@Nessnio @IvanDuque Eso es un piropo para los que peló el culibajito
1349491088923496450,"@Juan_Florez @DanielSamperO @MinSaludCol hay dice que llegaran en abril y mayo del 2020, que gobierno tan preparado. llegaron desde el año pasado lol :V"
1349491068186800129,@alkalasam @MinSaludCol @infopresidencia @IvanDuque @ViceColombia @urnadecristal @UNGRD @MinInterior @Fruizgomez @INSColombia @Supersalud @fdbedout @PGN_COL 29 de Febrero
1349491065477332993,"@realDonaldTrump ha quedado Mundialmente como un #Culo, cómo al igual @AlvaroUribeVel bajo su títere @IvanDuque y el @CeDemocratico.

https://t.co/gfB1Sgv2mq"
1349491026470309889,@petrogustavo Pudo disfrutar de sus hijos y su mujer no como las personas que masacró el M19
1349491026168328194,"@lycandrummer @fdbedout Porque si no se le hace pagar la osadía, va a seguir en oposicion tramposa y mentirosa tipo @AlvaroUribeVel. Acá la corrupción  no permite llevar a cabo algo similar, tenemos en el poder a lo peor de nuestra estirpe.  Necesitamos a la oposicion unida !!!!."
1349491005704310787,@CARLOSFMEJIA Q esperan el pdte @IvanDuque y  @mindefensa para dar la órden d fumigar con glifosato y bombardear dichos territorios?
1349491003187732487,"@AlvaroUribeVel Plan de vacunación, sin vacunas, ajá"
1349490955733389320,¡¡¡Van 673 personas muertas por la ineptitud de @IvanDuque !... Y sumando...
1349490946090692614,@Zuletalleras @IvanDuque Dele culo.
1349490924016037897,"@IngjrRodrigo @gabocifuentes @CathyJuvinao @JuanPabloCalvas @CamiloRomero @JERobledo @camiloencisov @odpdh @AntonioSanguino Y en este caso eso va a depender de la presión de la ciudadanía, las veedurías y el control político."
1349490912766943234,"@Nessnio @IvanDuque Eso es equivalente a un avión boing estrellándose diario, eso debería catalogarse como una tragedia nacional."
1349490903174545411,"@ElQueLosDELATA @migueldelrioabg @AUGUSTOOCAMPO @LUISEROLAVE @Betocoralg @ColombiaHumana_ @petrogustavo @GustavoBolivar Compatriotas encontremos al menos 5 colombianos de bien cómo @migueldelrioabg @LUISEROLAVE @Betocoralg para que nos representen en el senado!!!
Haremos historia!!!!!!"
1349490899240235008,"@Betocoralg @CeDemocratico @IvanDuque Y si que cambio la historia de Latinoamérica, mostró hasta donde puede llegar un desquiciado con tal de perpetuarse en el poder."
1349490879443177478,@petrogustavo Más bien Bizarra.
1349490856395481089,"@cardenasjorgee @CarlosHolmesTru @IvanDuque Totalmente de acuerdo, pero los mamertos saben de esto y se quedan callados porque saben de sobra que ésto es un bofetada en la pura jeta"
1349490841497333765,@mariagloce @AlvaroUribeVel Una gringa chiviada....forever jajajajajajajajaja
1349490831330316291,El gobierno inútil de @IvanDuque ahora sale con que hay acuerdos de confidencialidad sobre las vacunas. Ahora sé que la vida de la gente tiene que estar sujeto a acuerdos de confidencialidad. Coman mierda Hijueputas!
1349490827941306372,@cardenasjorgee @IvanDuque @PartidoFARC Totalmente de acuerdo@cardenasjorgee😅
1349490809775792130,Un amigo de derecha me decía que era posible que la demora de compra de vacunas se podía deber a intencionalidad para que en el campo hubiera más muerte y acaparamiento de tierras. Eso no lo había llegado a considerar... @IvanDuque tu demora nos perjudica.
1349490788741353476,@WRadioColombia @IvanDuque De bolsillo?
1349490771204964358,"Este Sr como no trabaja, tampoco quiere dejar trabajar.

Es totalmente ruin, hacer política con  semejante tragedia que vivimos actualmente en el mundo. https://t.co/2MaD6SK95a"
1349490767996329993,@natiibedoya @IvanDuque Yo diría tristemente que el nivel de ignorancia es mucho mayor q lo que suponiamos
1349490762380161033,"@petrogustavo Lastima que duró tanto, no como los militares, policías y civiles que masacró el M19"
1349490721250803723,@JOHANDERTORRES @petrogustavo José Raquel Mercado recibió mucha justicia social del M19 de Petro https://t.co/yamfpn4i57
